版本里程碑,优先级,阶段,优先级,分层,所属组件,研发内容,预估人月,进度,开始时间,结束时间,新建/优化/不纳入开发,说明
数字化信贷V1.0,P0,平台基础,P0 平台基础,[办贷],合同管理组件,[办贷] 合同管理组件,待估,未启动,待定,待定,优化,子功能：1）合同实例生成接口（基于模板+业务主键）；2）合同状态机（草稿/待签/已签/作废等）；3）合同内容存储与展示接口；4）与签约组件联动（签署结果回写）；5）合同查询与监管/报表视图支持。
,P0,平台基础,P0 平台基础,[办贷],合同（协议）模版管理组件,[办贷] 合同（协议）模版管理组件,待估,未启动,待定,待定,优化,子功能：1）模板元数据管理（类型、编码、版本、适用产品/机构/客户类型）；2）模板内容管理（富文本/HTML/PDF 模板存储与渲染接口）；3）模板发布与禁用控制；4）模板查询接口（按编码/版本拉取）。
,P0,平台基础,P0 平台基础,[办贷],客户管理组件,[办贷] 客户管理组件,待估,未启动,待定,待定,优化,子功能：1）客户主档建模（个人/对公、临时/正式、标识体系）；2）客户信息维护接口（建档、修改、合并、状态管理）；3）外部来源客户接入（含 external_source + external_customer_id 对接）；4）客户查询与视图（按客户号聚合授信/用信/额度等）。
,P0,平台基础,P0 平台基础,[办贷],批处理组件（调度平台）,[办贷] 批处理组件（调度平台）,待估,未启动,待定,待定,优化,子功能：1）批任务定义（任务标识、参数、调度周期、依赖）；2）调度与执行器（串行/并行、分片）；3）执行日志与重试策略；4）告警与运维界面；5）与业务接口的批量调用规范。
,P0,平台基础,P0 平台基础,[办贷],征信与外部数据管理组件,[办贷] 征信与外部数据管理组件,待估,未启动,待定,待定,新建,子功能：1）外部数据源接入适配层（征信、公积金、税务、政采、工商司法等）；2）授权校验与查询留痕（与授权记录联动）；3）查询路由与标准化结果模型；4）推送接收与转发（白名单推送、客户信息推送）；5）监控与对账。
,P0,平台基础,P0 平台基础,[通用],人脸识别与安全通用能力,[通用] 人脸识别与安全通用能力,待估,未启动,待定,待定,新建,子功能：1）人脸比对/活体检测对接与统一封装；2）交易密码/图形验证码等通用安全组件；3）安全策略与风控前置（例如高风险操作触发人脸/短信）；4）安全日志与风险事件记录。
,P0,平台基础,P0 平台基础,[办贷],工作流/审批流组件,[办贷] 工作流/审批流组件,待估,未启动,待定,待定,优化,子功能：1）流程模板建模（流程节点、路由条件、表单配置）；2）任务引擎（任务创建、拾取、流转、挂起/退回）；3）与业务组件集成方式（进件、授信、额度、利率、贷后、报表）；4）权限与队列配置；5）流程监控与查询。
,P0,平台基础,P0 平台基础,[通用],消息中心组件,[通用] 消息中心组件,待估,未启动,待定,待定,优化,子功能：1）通道管理（短信、邮件、站内信）与模板管理；2）发送接口（单发、批量、通知类、验证码类）；3）验证码生命周期管理与校验；4）发送结果回执与失败重试、监控告警。
,P0,平台基础,P0 平台基础,[通用],系统管理组件,[通用] 系统管理组件,待估,未启动,待定,待定,优化,子功能：1）机构/网点/角色/用户管理；2）菜单与权限模型配置；3）参数中心（业务参数、枚举、开关）；4）安全策略配置（密码策略、登录策略、多因子策略）；5）审计日志与操作留痕。
,P0,平台基础,P0 平台基础,[办贷],风控组件（规则引擎）,[办贷] 风控组件（规则引擎）,待估,未启动,待定,待定,新建,子功能：1）规则包模型与执行引擎（支持
